route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
100,2,"100","NOWE ZOO - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - NOWE ZOO","NOWE ZOO - Krańcowa - Termalna - Jana Pawła II - Kórnicka - Mostowa - Garbary - Małe Garbary - al. Marcinkowskiego - Święty Marcin - Dworcowa - POZNAŃ GŁÓWNY^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.|POZNAŃ GŁÓWNY - Zwierzyniecka - Kraszewskiego - Kościelna - al. Wielkopolska - Nowowiejskiego - Solna - Estkowskiego - Wyszyńskiego - Warszawska - Termalna - Krańcowa - NOWE ZOO^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.",3,FFFFFF,000000
102,2,"102","MUZEUM BRONI PANCERNEJ - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - MUZEUM BRONI PANCERNEJ","MUZEUM BRONI PANCERNEJ - Polska - Bukowska - Szpitalna - Dąbrowskiego - Kraszewskiego - Zwierzyniecka - Dworcowa - POZNAŃ GŁÓWNY^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.|POZNAŃ GŁÓWNY - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - Szpitalna - Bukowska - Polska - MUZEUM BRONI PANCERNEJ^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.",3,FFFFFF,000000
121,2,"121","MEISSNERA - OGRODY|OGRODY - MEISSNERA","MEISSNERA - Meissnera - Nowina - Szpitalna - OGRODY|OGRODY - Nowina - Meissnera - MEISSNERA",3,525252,FFFFFF
124,2,"124","SAFONY - INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY|INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY - SAFONY","SAFONY - Safony - Literacka - Koszalińska - Biskupińska - INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY^S - Kurs wykonywany tylko w dni nauki szkolnej |INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY - Koszalińska - Literacka - Safony - SAFONY^S - Kurs wykonywany tylko w dni nauki szkolnej ",3,525252,FFFFFF
125,2,"125","STAROŁĘKA - STAROŁĘKA","STAROŁĘKA - Forteczna - Obodrzycka - Kurlandzka - Unii Lubelskiej - Obodrzycka - Forteczna - Starołęcka - STAROŁĘKA",3,525252,FFFFFF
144,2,"144","KURPIŃSKIEGO - BORANTA|BORANTA - KURPIŃSKIEGO","KURPIŃSKIEGO - Księcia Mieszka I - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA|BORANTA - Naramowicka - Nowa Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Księcia Mieszka I - KURPIŃSKIEGO",3,525252,FFFFFF
145,2,"145","DWORZEC ZACHODNI - KACZA|KACZA - DWORZEC ZACHODNI","DWORZEC ZACHODNI - Zachodnia - Berwińskiego - Wyspiańskiego - Przybyszewskiego - Marcelińska - Bułgarska - Jugosłowiańska - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Jugosłowiańska - Bułgarska - Marcelińska - Reymonta - Wyspiańskiego - Zachodnia - DWORZEC ZACHODNI",3,525252,FFFFFF
146,2,"146","STRZESZYN - BORANTA|BORANTA - STRZESZYN","STRZESZYN - Biskupińska - Strzeszyńska - Szarych Szeregów - Obornicka - Jaroczyńskiego - Kurpińskiego - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA^L - kurs skrócony do przystanku: Os. Łokietka I|BORANTA - Naramowicka - Nowa Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Kurpińskiego - Jaroczyńskiego - Obornicka - Szarych Szeregów - Strzeszyńska - Biskupińska - STRZESZYN^S - kurs wydłużony do przystanku: Strzeszynek",3,525252,FFFFFF
148,2,"148","ŁAWICA - RONDO KAPONIERA|RONDO KAPONIERA - ŁAWICA","ŁAWICA - Złotowska - Brzechwy - Strzegomska - Marcelińska - Bułgarska - Bukowska - Zwierzyniecka - RONDO KAPONIERA|RONDO KAPONIERA - Bukowska - Bułgarska - Marcelińska - Strzegomska - Brzechwy - Bukowska - Perzycka - Złotowska - ŁAWICA",3,525252,FFFFFF
149,2,"149","GÓRCZYN - DĘBIEC|DĘBIEC - GÓRCZYN","GÓRCZYN - Zgoda - Głogowska - Ostatnia - Bohaterów Westerplatte - Kołłątaja - Opolska - Jesionowa - Górecka - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - DĘBIEC|DĘBIEC - Łozowa - Czechosłowacka - Górecka - Jesionowa - Opolska - Kołłątaja - Bohaterów Westerplatte - Ostatnia - Głogowska - Zgoda - GÓRCZYN",3,525252,FFFFFF
